sentence_id,target,target_prob_raw,target_prob_smooth,target_surprisal_raw,target_surprisal_smooth,entropy_raw,entropy_smooth,top1,top2,competition
1,helm,0.07692307692307693,0.1,2.5649493574615367,2.3025850929940455,1.7782333057997075,1.874063207697293,0.25,0.2,0.04999999999999999
8,curtains,0.3076923076923077,0.29411764705882354,1.1786549963416462,1.2237754316221157,1.204793309694784,1.2831726480161034,0.4117647058823529,0.29411764705882354,0.11764705882352938
9,mittens,0.38461538461538464,0.35294117647058826,0.9555114450274363,1.041453874828161,1.1189688668816267,1.236477074585904,0.4117647058823529,0.35294117647058826,0.05882352941176466
12,ale,0.07692307692307693,0.09523809523809523,2.5649493574615367,2.3513752571634776,1.9512595041439562,2.0293956015061414,0.19047619047619047,0.19047619047619047,0
13,kittens,0.6923076923076923,0.5555555555555556,0.3677247801253174,0.587786664902119,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
13,kittens,0.6923076923076923,0.5555555555555556,2.5649493574615367,2.1972245773362196,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
13,kittens,0.07692307692307693,0.1111111111111111,0.3677247801253174,0.587786664902119,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
13,kittens,0.07692307692307693,0.1111111111111111,2.5649493574615367,2.1972245773362196,1.0437938808441543,1.3030924037617193,0.5555555555555556,0.1111111111111111,0.4444444444444445
18,rail,0.3076923076923077,0.2631578947368421,1.1786549963416462,1.3350010667323402,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
18,rail,0.3076923076923077,0.2631578947368421,2.5649493574615367,2.2512917986064953,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
18,rail,0.07692307692307693,0.10526315789473684,1.1786549963416462,1.3350010667323402,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
18,rail,0.07692307692307693,0.10526315789473684,2.5649493574615367,2.2512917986064953,1.6313454208085967,1.7183112141933194,0.2631578947368421,0.21052631578947367,0.05263157894736842
21,shell,0.6153846153846154,0.5,0.48550781578170077,0.6931471805599453,1.1786549963416462,1.3776083609300551,0.5,0.16666666666666666,0.33333333333333337
24,snails,0.23076923076923078,0.17391304347826086,1.466337068793427,1.749199854809259,2.20478541691352,2.268912946388149,0.17391304347826086,0.13043478260869565,0.043478260869565216
25,carton,0.5384615384615384,0.4444444444444444,0.6190392084062235,0.8109302162163288,1.2636256721237273,1.4270610433807247,0.4444444444444444,0.2222222222222222,0.2222222222222222
27,sale,0.15384615384615385,0.125,1.8718021769015913,2.0794415416798357,2.351673301904631,2.3835403727609594,0.125,0.125,0
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
31,elf,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.524058077389471,2.6391131936056635,0.17142857142857143,0.08571428571428572,0.08571428571428572
33,ale,0.1,0.10344827586206896,2.3025850929940455,2.268683541318364,1.6075751554588924,1.8907862716657995,0.41379310344827586,0.10344827586206896,0.3103448275862069
36,sale,0.65,0.5384615384615384,0.4307829160924542,0.6190392084062235,1.189885755092003,1.4235827137914072,0.5384615384615384,0.11538461538461539,0.423076923076923
37,latin,0.5,0.4074074074074074,0.6931471805599453,0.8979415932059586,1.5148560404565352,1.7027857425146713,0.4074074074074074,0.14814814814814814,0.25925925925925924
43,mountains,0.05,0.07142857142857142,2.995732273553991,2.639057329615259,1.8217383933208384,1.9479859525423833,0.25,0.21428571428571427,0.035714285714285726
43,mountains,0.05,0.07142857142857142,1.2039728043259361,1.3862943611198906,1.8217383933208384,1.9479859525423833,0.25,0.21428571428571427,0.035714285714285726
43,mountains,0.3,0.25,2.995732273553991,2.639057329615259,1.8217383933208384,1.9479859525423833,0.25,0.21428571428571427,0.035714285714285726
43,mountains,0.3,0.25,1.2039728043259361,1.3862943611198906,1.8217383933208384,1.9479859525423833,0.25,0.21428571428571427,0.035714285714285726
44,health,0.05,0.07142857142857142,2.995732273553991,2.639057329615259,1.4354735656251962,1.7265636287565023,0.4642857142857143,0.10714285714285714,0.35714285714285715
44,health,0.05,0.07142857142857142,2.995732273553991,2.639057329615259,1.4354735656251962,1.7265636287565023,0.4642857142857143,0.10714285714285714,0.35714285714285715
44,health,0.05,0.07142857142857142,2.995732273553991,2.639057329615259,1.4354735656251962,1.7265636287565023,0.4642857142857143,0.10714285714285714,0.35714285714285715
44,health,0.05,0.07142857142857142,2.995732273553991,2.639057329615259,1.4354735656251962,1.7265636287565023,0.4642857142857143,0.10714285714285714,0.35714285714285715
45,cell,0.1,0.10344827586206896,2.3025850929940455,2.268683541318364,1.898775413048664,2.0498521253927744,0.27586206896551724,0.1724137931034483,0.10344827586206895
45,cell,0.1,0.10344827586206896,1.6094379124341003,1.7578579175523736,1.898775413048664,2.0498521253927744,0.27586206896551724,0.1724137931034483,0.10344827586206895
45,cell,0.2,0.1724137931034483,2.3025850929940455,2.268683541318364,1.898775413048664,2.0498521253927744,0.27586206896551724,0.1724137931034483,0.10344827586206895
45,cell,0.2,0.1724137931034483,1.6094379124341003,1.7578579175523736,1.898775413048664,2.0498521253927744,0.27586206896551724,0.1724137931034483,0.10344827586206895
46,belt,0.8,0.7083333333333334,0.2231435513142097,0.3448404862917295,0.7083465777061715,0.918343312131288,0.7083333333333334,0.125,0.5833333333333334
49,trail,0.3,0.21875,1.2039728043259361,1.5198257537444133,2.2502602786175907,2.3845097612259982,0.21875,0.09375,0.125
50,cotton,0.7,0.6,0.35667494393873245,0.5108256237659907,0.9836002995230935,1.2058832830933055,0.6,0.16,0.43999999999999995
51,bell,0.8,0.7391304347826086,0.2231435513142097,0.3022808718729337,0.639031859650177,0.7547854950176571,0.7391304347826086,0.13043478260869565,0.608695652173913
52,fountain,0.05,0.0625,2.995732273553991,2.772588722239781,2.3025850929940455,2.4102231607588274,0.15625,0.15625,0
53,nail,0.7,0.6,0.35667494393873245,0.5108256237659907,0.9836002995230935,1.2058832830933055,0.6,0.16,0.43999999999999995
53,nail,0.7,0.6,1.8971199848858813,1.8325814637483102,0.9836002995230935,1.2058832830933055,0.6,0.16,0.43999999999999995
53,nail,0.15,0.16,0.35667494393873245,0.5108256237659907,0.9836002995230935,1.2058832830933055,0.6,0.16,0.43999999999999995
53,nail,0.15,0.16,1.8971199848858813,1.8325814637483102,0.9836002995230935,1.2058832830933055,0.6,0.16,0.43999999999999995
54,wells,0.2,0.18518518518518517,1.6094379124341003,1.6863989535702288,1.4978661367769954,1.6934275373585337,0.4074074074074074,0.18518518518518517,0.2222222222222222
58,mail,0.9,0.8260869565217391,0.10536051565782628,0.19105523676270922,0.39439769144744274,0.5825842452160127,0.8260869565217391,0.08695652173913043,0.7391304347826086
60,snail,0.05,0.05714285714285714,2.995732273553991,2.8622008809294686,2.5968338688975634,2.6690130875350664,0.11428571428571428,0.11428571428571428,0
